0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:02 +0700] "POST /QLSACH/admin/customer/add.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:02 +0700] "GET /QLSACH/admin/customer.htm?messageSuccess=C%E1%BA%ADp+nh%E1%BA%ADt+ng%C6%B0%E1%BB%9Di+d%C3%B9ng+th%C3%A0nh+c%C3%B4ng HTTP/1.1" 200 38167
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:02 +0700] "GET /QLSACH/admin/assets/js/bootstrap.bundle.min.js HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:02 +0700] "GET /QLSACH/admin/customer_admin.js HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:08 +0700] "GET /QLSACH/admin/author.htm HTTP/1.1" 200 27325
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:08 +0700] "GET /QLSACH/admin/author_admin.js HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:12 +0700] "POST /QLSACH/admin/author/edit.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:13 +0700] "GET /QLSACH/admin/author.htm?page=1&order=id&dir=asc HTTP/1.1" 200 27326
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:13 +0700] "GET /QLSACH/admin/author_admin.js HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:15 +0700] "GET /QLSACH/admin/customer.htm HTTP/1.1" 200 38167
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:15 +0700] "GET /QLSACH/admin/assets/js/bootstrap.bundle.min.js HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:15 +0700] "GET /QLSACH/admin/customer_admin.js HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:22 +0700] "GET /QLSACH/admin/order.htm HTTP/1.1" 200 42754
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:23 +0700] "GET /QLSACH/admin/order.htm?page=1&order=id&dir=desc&status=1 HTTP/1.1" 200 38635
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:27 +0700] "GET /QLSACH/admin/review.htm HTTP/1.1" 200 20702
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:27 +0700] "GET /QLSACH/admin/book.htm HTTP/1.1" 200 56657
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:27 +0700] "GET /QLSACH/images/upload.png HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:31 +0700] "GET /QLSACH/account/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:31 +0700] "GET /QLSACH/account/info.htm HTTP/1.1" 200 20902
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:34 +0700] "GET /QLSACH/account/cart.htm HTTP/1.1" 200 20537
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:35 +0700] "GET /QLSACH/account/order.htm HTTP/1.1" 200 34071
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:19:37 +0700] "GET /QLSACH/home.htm HTTP/1.1" 200 26075
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:25:22 +0700] "GET /QLSACH/admin/order.htm HTTP/1.1" 200 42416
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:27:04 +0700] "GET /QLSACH/admin/review.htm HTTP/1.1" 200 20702
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:27:06 +0700] "GET /QLSACH/sach/4.htm HTTP/1.1" 200 30880
